incident_id,first_seen,last_seen,src_ip,dst_ip,asset_name,attack_type,alert_count,rule_ids,max_risk_score,risk_level,evidence_summary,disposition,recommendation
INC-000011,2026-06-15 12:10:12,2026-06-15 12:10:12,185.199.110.14,192.168.10.10,Web-Server-01,SQL Injection Probe,1,WEB-001,85,严重,字段 request_uri 命中关键字 'information_schema'；请求状态码=403.0；User-Agent=curl/8.6.0,疑似 SQL 注入探测，需检查数据库错误日志和参数过滤。,检查参数过滤、数据库错误回显和 WAF 拦截策略，必要时封禁源 IP。
INC-000012,2026-06-15 15:05:00,2026-06-15 15:09:42,45.77.200.10,192.168.10.10,Web-Server-01,Automated Scanner,48,UA-001,85,严重,字段 user_agent 命中关键字 'dirbuster'；请求状态码=403.0；User-Agent=dirbuster/1.0 | 字段 user_agent 命中关键字 'dirbuster'；请求状态码=404.0；User-Agent=dirbuster/1.0,疑似自动化扫描行为，需结合访问频率和命中路径进一步确认。,结合访问频率判断是否为自动化扫描，必要时临时封禁。
INC-000013,2026-06-15 16:30:00,2026-06-15 16:34:36,66.249.66.1,192.168.10.10,Web-Server-01,Automated Scanner,24,UA-001,85,严重,字段 user_agent 命中关键字 'sqlmap'；请求状态码=200.0；User-Agent=sqlmap/1.7.9#stable | 字段 user_agent 命中关键字 'nikto'；请求状态码=404.0；User-Agent=Nikto/2.5.0 | 字段 user_agent 命中关键字 'dirbuster'；请求状态码=403.0；User-Agent=dirbuster/1.0,疑似自动化扫描行为，需结合访问频率和命中路径进一步确认。,结合访问频率判断是否为自动化扫描，必要时临时封禁。
INC-000014,2026-06-15 08:00:02,2026-06-15 08:00:02,59.81.154.38,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000015,2026-06-15 08:00:41,2026-06-15 08:00:41,100.205.237.214,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000016,2026-06-15 08:03:20,2026-06-15 08:03:20,79.113.142.233,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000017,2026-06-15 08:05:29,2026-06-15 08:05:29,117.10.150.187,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000018,2026-06-15 08:08:05,2026-06-15 08:08:05,76.49.45.65,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000019,2026-06-15 08:08:44,2026-06-15 08:08:44,140.247.36.191,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000020,2026-06-15 08:10:54,2026-06-15 08:10:54,170.220.125.95,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000021,2026-06-15 08:11:28,2026-06-15 08:11:28,58.123.21.82,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000022,2026-06-15 08:13:35,2026-06-15 08:13:35,168.59.95.133,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000023,2026-06-15 08:14:01,2026-06-15 08:14:01,161.70.244.88,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000024,2026-06-15 08:16:45,2026-06-15 08:16:45,164.193.241.4,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000025,2026-06-15 08:18:42,2026-06-15 08:18:42,121.135.134.173,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000026,2026-06-15 08:21:27,2026-06-15 08:21:27,25.139.189.24,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000027,2026-06-15 08:22:03,2026-06-15 08:22:03,111.185.23.188,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000028,2026-06-15 08:24:09,2026-06-15 08:24:09,132.217.138.181,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000029,2026-06-15 08:24:45,2026-06-15 08:24:45,171.100.128.41,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000030,2026-06-15 08:26:54,2026-06-15 08:26:54,210.176.16.66,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000031,2026-06-15 08:27:29,2026-06-15 08:27:29,208.201.24.7,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000032,2026-06-15 08:30:04,2026-06-15 08:30:04,136.102.72.248,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000033,2026-06-15 08:32:07,2026-06-15 08:32:07,120.55.65.34,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000034,2026-06-15 08:34:44,2026-06-15 08:34:44,129.53.206.47,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000035,2026-06-15 08:35:34,2026-06-15 08:35:34,91.123.194.45,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000036,2026-06-15 08:37:31,2026-06-15 08:37:31,97.31.25.71,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000037,2026-06-15 08:38:14,2026-06-15 08:38:14,152.80.234.197,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000038,2026-06-15 08:40:13,2026-06-15 08:40:13,45.63.241.97,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000039,2026-06-15 08:40:47,2026-06-15 08:40:47,73.180.1.15,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000040,2026-06-15 08:43:31,2026-06-15 08:43:31,94.136.239.229,192.168.10.20,Login-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000041,2026-06-15 08:45:22,2026-06-15 08:45:22,208.50.171.47,192.168.10.10,Web-Server-01,IDS Alert,1,IDS-001,65,高危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000042,2026-06-15 08:02:04,2026-06-15 08:02:04,48.209.17.144,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000043,2026-06-15 08:04:42,2026-06-15 08:04:42,200.23.195.37,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000044,2026-06-15 08:07:28,2026-06-15 08:07:28,134.106.93.222,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000045,2026-06-15 08:10:03,2026-06-15 08:10:03,146.52.13.48,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000046,2026-06-15 08:15:34,2026-06-15 08:15:34,202.163.14.93,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000047,2026-06-15 08:18:13,2026-06-15 08:18:13,212.152.8.52,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000048,2026-06-15 08:20:43,2026-06-15 08:20:43,59.40.152.245,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000049,2026-06-15 08:23:31,2026-06-15 08:23:31,135.83.70.147,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000050,2026-06-15 08:28:55,2026-06-15 08:28:55,202.185.182.154,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000051,2026-06-15 08:31:31,2026-06-15 08:31:31,72.40.21.39,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000052,2026-06-15 08:34:12,2026-06-15 08:34:12,137.159.174.194,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000053,2026-06-15 08:36:42,2026-06-15 08:36:42,211.203.132.201,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000054,2026-06-15 08:42:13,2026-06-15 08:42:13,191.220.144.142,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000055,2026-06-15 08:44:51,2026-06-15 08:44:51,162.212.147.58,192.168.10.40,OA-System-01,IDS Alert,1,IDS-001,55,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000056,2026-06-15 08:01:29,2026-06-15 08:01:29,66.40.79.15,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000057,2026-06-15 08:04:11,2026-06-15 08:04:11,61.215.53.28,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000058,2026-06-15 08:06:51,2026-06-15 08:06:51,151.3.252.5,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000059,2026-06-15 08:12:09,2026-06-15 08:12:09,219.88.197.131,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000060,2026-06-15 08:14:51,2026-06-15 08:14:51,197.214.39.224,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000061,2026-06-15 08:17:22,2026-06-15 08:17:22,153.226.52.203,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000062,2026-06-15 08:20:14,2026-06-15 08:20:14,122.233.114.185,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000063,2026-06-15 08:25:25,2026-06-15 08:25:25,56.61.27.133,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000064,2026-06-15 08:28:11,2026-06-15 08:28:11,174.49.14.65,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000065,2026-06-15 08:30:43,2026-06-15 08:30:43,163.204.201.9,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000066,2026-06-15 08:33:33,2026-06-15 08:33:33,114.178.115.84,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000067,2026-06-15 08:38:42,2026-06-15 08:38:42,120.57.17.9,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000068,2026-06-15 08:41:33,2026-06-15 08:41:33,120.191.18.224,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
INC-000069,2026-06-15 08:44:12,2026-06-15 08:44:12,49.56.137.142,192.168.10.30,DB-Server-01,IDS Alert,1,IDS-001,45,中危,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,IDS 高危告警，需结合日志进一步确认攻击是否成功。,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。
